User,Email,Client,Project,Task,Description,Billable,Start date,Start time,End date,End time,Duration,Tags,Amount (USD)
Tmhuru24,tmhuru24@analysis.edu,,,,English,No,2022-09-15,10:00:00,2022-09-15,11:00:00,01:00:00,,
Tmhuru24,tmhuru24@analysis.edu,,,,Data Science,No,2022-09-15,11:30:00,2022-09-15,12:50:00,01:20:00,,
Tmhuru24,tmhuru24@analysis.edu,,,,Machine Learning,No,2022-09-15,14:30:00,2022-09-15,15:50:00,01:20:00,,
Tmhuru24,tmhuru24@analysis.edu,,,,Algorithms,No,2022-09-15,18:00:00,2022-09-15,19:30:00,01:30:00,,
Tmhuru24,tmhuru24@analysis.edu,,,,Data Science,No,2022-09-15,20:00:00,2022-09-15,23:30:00,03:30:00,,
Tmhuru24,tmhuru24@analysis.edu,,,,Algorithms,No,2022-09-16,11:00:00,2022-09-16,11:50:00,00:50:00,,
Tmhuru24,tmhuru24@analysis.edu,,,,English,No,2022-09-16,15:00:00,2022-09-16,17:00:00,02:00:00,,
Tmhuru24,tmhuru24@analysis.edu,,,,Machine Learning,No,2022-09-16,19:00:00,2022-09-16,20:00:00,01:00:00,,
Tmhuru24,tmhuru24@analysis.edu,,,,Data Science,No,2022-09-16,20:00:00,2022-09-16,21:00:00,01:00:00,,
Tmhuru24,tmhuru24@analysis.edu,,,,Algorithms,No,2022-09-17,10:00:00,2022-09-17,12:00:00,02:00:00,,
Tmhuru24,tmhuru24@analysis.edu,,,,Machine Learning,No,2022-09-17,15:00:00,2022-09-17,17:00:00,02:00:00,,
Tmhuru24,tmhuru24@analysis.edu,,,,English,No,2022-09-17,18:00:00,2022-09-17,19:30:00,01:30:00,,
Tmhuru24,tmhuru24@analysis.edu,,,,Data Science,No,2022-09-17,20:00:00,2022-09-17,21:00:00,01:00:00,,
Tmhuru24,tmhuru24@analysis.edu,,,,Algorithms,No,2022-09-18,10:00:00,2022-09-18,11:00:00,01:00:00,,
Tmhuru24,tmhuru24@analysis.edu,,,,English,No,2022-09-18,12:00:00,2022-09-18,14:30:00,02:30:00,,
Tmhuru24,tmhuru24@analysis.edu,,,,Machine Learning,No,2022-09-18,15:00:00,2022-09-18,18:00:00,03:00:00,,
Tmhuru24,tmhuru24@analysis.edu,,,,Data Science,No,2022-09-18,18:30:00,2022-09-18,21:00:00,02:30:00,,
Tmhuru24,tmhuru24@analysis.edu,,,,Algorithms,No,2022-09-19,11:00:00,2022-09-19,11:50:00,00:50:00,,
Tmhuru24,tmhuru24@analysis.edu,,,,English,No,2022-09-19,13:15:00,2022-09-19,14:15:00,01:00:00,,
Tmhuru24,tmhuru24@analysis.edu,,,,Data Science,No,2022-09-19,16:00:00,2022-09-19,17:00:00,01:00:00,,
Tmhuru24,tmhuru24@analysis.edu,,,,Machine Learning,No,2022-09-19,18:00:00,2022-09-19,19:00:00,01:00:00,,
Tmhuru24,tmhuru24@analysis.edu,,,,Data Science,No,2022-09-20,11:30:00,2022-09-20,12:50:00,01:20:00,,
Tmhuru24,tmhuru24@analysis.edu,,,,Machine Learning,No,2022-09-20,14:30:00,2022-09-20,15:50:00,01:20:00,,
Tmhuru24,tmhuru24@analysis.edu,,,,Algorithms,No,2022-09-20,18:00:00,2022-09-20,19:00:00,01:00:00,,
Tmhuru24,tmhuru24@analysis.edu,,,,English,No,2022-09-20,20:00:00,2022-09-20,21:30:00,01:30:00,,
Tmhuru24,tmhuru24@analysis.edu,,,,Algorithms,No,2022-09-21,11:00:00,2022-09-21,11:50:00,00:50:00,,
Tmhuru24,tmhuru24@analysis.edu,,,,Machine Learning,No,2022-09-21,17:00:00,2022-09-21,19:00:00,02:00:00,,
Tmhuru24,tmhuru24@analysis.edu,,,,Data Science,No,2022-09-21,20:00:00,2022-09-21,22:30:00,02:30:00,,
Tmhuru24,tmhuru24@analysis.edu,,,,English,No,2022-09-21,22:30:00,2022-09-22,00:00:00,01:30:00,,
Tmhuru24,tmhuru24@analysis.edu,,,,Data Science,No,2022-09-22,11:30:00,2022-09-22,12:50:00,01:20:00,,
Tmhuru24,tmhuru24@analysis.edu,,,,Machine Learning,No,2022-09-22,14:30:00,2022-09-22,15:50:00,01:20:00,,
Tmhuru24,tmhuru24@analysis.edu,,,,English,No,2022-09-22,16:00:00,2022-09-22,17:30:00,01:30:00,,
Tmhuru24,tmhuru24@analysis.edu,,,,Data Science,No,2022-09-22,19:00:00,2022-09-22,20:00:00,01:00:00,,
Tmhuru24,tmhuru24@analysis.edu,,,,Algorithms,No,2022-09-22,20:30:00,2022-09-22,21:30:00,01:00:00,,
Tmhuru24,tmhuru24@analysis.edu,,,,Algorithms,No,2022-09-23,11:00:00,2022-09-23,11:50:00,00:50:00,,
Tmhuru24,tmhuru24@analysis.edu,,,,English,No,2022-09-23,16:00:00,2022-09-23,18:00:00,02:00:00,,
Tmhuru24,tmhuru24@analysis.edu,,,,Data Science,No,2022-09-23,19:00:00,2022-09-23,21:00:00,02:00:00,,
Tmhuru24,tmhuru24@analysis.edu,,,,Machine Learning,No,2022-09-23,22:00:00,2022-09-23,23:00:00,01:00:00,,
